"Sample","Latitude_WGS84","Longitude_WGS84","ClusterNum","FaunalCluster","SurveyName","Year"
"0202B-S066",54.75,-3.748333333,6,"D2c","Robin Rigg Baseline Benthic Survey 2001/2002",2002
"0202B-S067",54.75,-3.735,6,"D2c","Robin Rigg Baseline Benthic Survey 2001/2002",2002
"0202B-S068",54.75,-3.723333333,6,"D2c","Robin Rigg Baseline Benthic Survey 2001/2002",2002
"0202B-S069",54.74333333,-3.743333333,6,"D2c","Robin Rigg Baseline Benthic Survey 2001/2002",2002
"0202B-S070",54.74333333,-3.723333333,6,"D2c","Robin Rigg Baseline Benthic Survey 2001/2002",2002
"0202B-S071",54.735,-3.74835,6,"D2c","Robin Rigg Baseline Benthic Survey 2001/2002",2002
"0202B-S072",54.74333333,-3.71,6,"D2c","Robin Rigg Baseline Benthic Survey 2001/2002",2002
"0202B-S073",54.735,-3.735,6,"D2c","Robin Rigg Baseline Benthic Survey 2001/2002",2002
"0202B-S077",54.735,-3.723316667,6,"D2c","Robin Rigg Baseline Benthic Survey 2001/2002",2002
"0202B-S079",54.78826667,-3.710366667,6,"D2c","Robin Rigg Baseline Benthic Survey 2001/2002",2001
"0202B-S081",54.71331667,-3.723316667,6,"D2c","Robin Rigg Baseline Benthic Survey 2001/2002",2002
"0202B-S092",54.73496667,-3.71,6,"D2c","Robin Rigg Baseline Benthic Survey 2001/2002",2002
"0202B-S093",54.72835,-3.723366667,6,"D2c","Robin Rigg Baseline Benthic Survey 2001/2002",2002
"0202B-S094",54.72833333,-3.7484,6,"D2c","Robin Rigg Baseline Benthic Survey 2001/2002",2002
"0202B-S095",54.75,-3.7611,6,"D2c","Robin Rigg Baseline Benthic Survey 2001/2002",2002
"0202B-S097",54.72833333,-3.735016667,6,"D2c","Robin Rigg Baseline Benthic Survey 2001/2002",2002
"0202B-S098",54.72,-3.72,6,"D2c","Robin Rigg Baseline Benthic Survey 2001/2002",2002
"0202B-S099",54.74333333,-3.735033333,6,"D2c","Robin Rigg Baseline Benthic Survey 2001/2002",2002
"0202B-S100",54.75835,-3.748316667,6,"D2c","Robin Rigg Baseline Benthic Survey 2001/2002",2002
"0203B-CR106",54.71855,-3.6265,6,"D2c","Robin Rigg Baseline Benthic Survey 2001/2002",2002
"0203B-CR107",54.714,-3.6131,6,"D2c","Robin Rigg Baseline Benthic Survey 2001/2002",2002
"0203B-CR108",54.70945,-3.5997,6,"D2c","Robin Rigg Baseline Benthic Survey 2001/2002",2002
"0203B-CR109",54.70493333,-3.586316667,5,"C1b","Robin Rigg Baseline Benthic Survey 2001/2002",2002
"0203B-CR110",54.70038333,-3.572933333,4,"C1a","Robin Rigg Baseline Benthic Survey 2001/2002",2002
"0203B-CR111",54.69591667,-3.559766667,4,"C1a","Robin Rigg Baseline Benthic Survey 2001/2002",2002
"0203B-CR112",54.69128333,-3.546166667,6,"D2c","Robin Rigg Baseline Benthic Survey 2001/2002",2002
"0203B-CR113",54.68673333,-3.5328,6,"D2c","Robin Rigg Baseline Benthic Survey 2001/2002",2002
"022.1.11167",50.47504,0.75567,7,"B1b","Eastern English Channel Monitoring 2013",2013
"023.1.11168",50.48011,0.7462,7,"B1b","Eastern English Channel Monitoring 2013",2013
"024.1.11169",50.47035,0.75142,7,"B1b","Eastern English Channel Monitoring 2013",2013
"025.1.11170",50.47087,0.74097,7,"B1b","Eastern English Channel Monitoring 2013",2013
"026.1.11171",50.53562,0.66265,7,"B1b","Eastern English Channel Monitoring 2013",2013
"027.1.11172",50.50293,0.68981,7,"B1b","Eastern English Channel Monitoring 2013",2013
"030.1.11173",50.49055,0.69081,7,"B1b","Eastern English Channel Monitoring 2013",2013
"032.1.11174",50.50901,0.66353,7,"B1b","Eastern English Channel Monitoring 2013",2013
"035.1.11175",50.4637,0.70135,7,"B1b","Eastern English Channel Monitoring 2013",2013
"036.1.11176",50.46129,0.70144,7,"B1b","Eastern English Channel Monitoring 2013",2013
"038.1.11177",50.46527,0.68924,7,"B1b","Eastern English Channel Monitoring 2013",2013
"042.1.11178",50.50213,0.63734,7,"B1b","Eastern English Channel Monitoring 2013",2013
"044.1.11179",50.50354,0.63297,7,"B1b","Eastern English Channel Monitoring 2013",2013
"045.1.11180",50.45946,0.67632,7,"B1b","Eastern English Channel Monitoring 2013",2013
"046.1.11181",50.45666,0.67111,7,"B1b","Eastern English Channel Monitoring 2013",2013
"047.1.11182",50.45967,0.66722,7,"B1b","Eastern English Channel Monitoring 2013",2013
"051.1.11183",50.49883,0.62411,7,"B1b","Eastern English Channel Monitoring 2013",2013
"052.1.11184",50.50315,0.61526,7,"B1b","Eastern English Channel Monitoring 2013",2013
"054.1.11185",50.50973,0.60199,7,"B1b","Eastern English Channel Monitoring 2013",2013
"057.1.11186",50.49918,0.60965,7,"B1b","Eastern English Channel Monitoring 2013",2013
"058.1.11187",50.45587,0.65084,7,"B1b","Eastern English Channel Monitoring 2013",2013
"059.1.11188",50.48841,0.61601,7,"B1b","Eastern English Channel Monitoring 2013",2013
"062.1.11189",50.5043,0.58861,7,"B1b","Eastern English Channel Monitoring 2013",2013
"064.1.11190",50.47275,0.60226,7,"B1b","Eastern English Channel Monitoring 2013",2013
"065.1.11191",50.50509,0.56951,7,"B1b","Eastern English Channel Monitoring 2013",2013
"066.1.11192",50.48723,0.58591,7,"B1b","Eastern English Channel Monitoring 2013",2013
"067.1.11193",50.5189,0.54603,7,"B1b","Eastern English Channel Monitoring 2013",2013
"068.1.11194",50.49661,0.56631,7,"B1b","Eastern English Channel Monitoring 2013",2013
"0707PC-C1_1",54.7889,-3.7236,6,"D2c","Robin Rigg Post Consent Monitoring (RR-MEMP-0003-0707PC)",2007
"0707PC-C1_2",54.7889,-3.7236,6,"D2c","Robin Rigg Post Consent Monitoring (RR-MEMP-0003-0707PC)",2007
"0707PC-C2_1",54.75053333,-3.60815,6,"D2c","Robin Rigg Post Consent Monitoring (RR-MEMP-0003-0707PC)",2007
"0707PC-C2_2",54.75053333,-3.60815,6,"D2c","Robin Rigg Post Consent Monitoring (RR-MEMP-0003-0707PC)",2007
"0707PC-C3_1",54.71331667,-3.72335,6,"D2c","Robin Rigg Post Consent Monitoring (RR-MEMP-0003-0707PC)",2007
"0707PC-C3_2",54.71331667,-3.72335,9,"D2d","Robin Rigg Post Consent Monitoring (RR-MEMP-0003-0707PC)",2007
"0707PC-S1_1",54.76428333,-3.684883333,6,"D2c","Robin Rigg Post Consent Monitoring (RR-MEMP-0003-0707PC)",2007
"0707PC-S1_2",54.76428333,-3.684883333,6,"D2c","Robin Rigg Post Consent Monitoring (RR-MEMP-0003-0707PC)",2007
"0707PC-S2_1",54.75005,-3.68485,6,"D2c","Robin Rigg Post Consent Monitoring (RR-MEMP-0003-0707PC)",2007
"0707PC-S2_2",54.75005,-3.68485,6,"D2c","Robin Rigg Post Consent Monitoring (RR-MEMP-0003-0707PC)",2007
"0707PC-S3_1",54.74998333,-3.735016667,9,"D2d","Robin Rigg Post Consent Monitoring (RR-MEMP-0003-0707PC)",2007
"0707PC-S3_2",54.74998333,-3.735016667,9,"D2d","Robin Rigg Post Consent Monitoring (RR-MEMP-0003-0707PC)",2007
"0707PC-S4_1",54.76476667,-3.7343,6,"D2c","Robin Rigg Post Consent Monitoring (RR-MEMP-0003-0707PC)",2007
"0707PC-S4_2",54.76476667,-3.7343,6,"D2c","Robin Rigg Post Consent Monitoring (RR-MEMP-0003-0707PC)",2007
"0707PC-S5_1",54.73506667,-3.734816667,9,"D2d","Robin Rigg Post Consent Monitoring (RR-MEMP-0003-0707PC)",2007
"0707PC-S5_2",54.73506667,-3.734816667,9,"D2d","Robin Rigg Post Consent Monitoring (RR-MEMP-0003-0707PC)",2007
"0707PC-S6_1",54.77323333,-3.68395,6,"D2c","Robin Rigg Post Consent Monitoring (RR-MEMP-0003-0707PC)",2007
"0707PC-S6_2",54.77323333,-3.68395,6,"D2c","Robin Rigg Post Consent Monitoring (RR-MEMP-0003-0707PC)",2007
"071.1.11195",50.49999,0.55364,7,"B1b","Eastern English Channel Monitoring 2013",2013
"0711PC-CR1",54.7419,-3.685,6,"D2c","Robin Rigg Post Consent Monitoring (RR-MEMP-0003-0711PC)",2007
"0711PC-CR2",54.7391,-3.6785,6,"D2c","Robin Rigg Post Consent Monitoring (RR-MEMP-0003-0711PC)",2007
"0711PC-CR3",54.7347,-3.6685,9,"D2d","Robin Rigg Post Consent Monitoring (RR-MEMP-0003-0711PC)",2007
"0711PC-CR4",54.7289,-3.6526,6,"D2c","Robin Rigg Post Consent Monitoring (RR-MEMP-0003-0711PC)",2007
"0711PC-CR5",54.7257,-3.6401,6,"D2c","Robin Rigg Post Consent Monitoring (RR-MEMP-0003-0711PC)",2007
"0711PC-CR6",54.7195,-3.6291,6,"D2c","Robin Rigg Post Consent Monitoring (RR-MEMP-0003-0711PC)",2007
"0711PC-CR7",54.7084,-3.6049,9,"D2d","Robin Rigg Post Consent Monitoring (RR-MEMP-0003-0711PC)",2007
"0711PC-CR8",54.7023,-3.5901,9,"D2d","Robin Rigg Post Consent Monitoring (RR-MEMP-0003-0711PC)",2007
"072.1.11196",50.50551,0.53771,7,"B1b","Eastern English Channel Monitoring 2013",2013
"073.1.11197",50.47052,0.57243,7,"B1b","Eastern English Channel Monitoring 2013",2013
"074.1.11198",50.49558,0.53795,7,"B1b","Eastern English Channel Monitoring 2013",2013
"075.1.11199",50.51106,0.52161,7,"B1b","Eastern English Channel Monitoring 2013",2013
"076.1.11200",50.4436,0.58907,7,"B1b","Eastern English Channel Monitoring 2013",2013
"077.1.11201",50.46975,0.55578,7,"B1b","Eastern English Channel Monitoring 2013",2013
"079.1.11202",50.46883,0.54803,7,"B1b","Eastern English Channel Monitoring 2013",2013
"080.1.11203",50.48427,0.53057,7,"B1b","Eastern English Channel Monitoring 2013",2013
"0803C-C1",54.785,-3.728,6,"D2c","Robin Rigg Post Consent Monitoring (RR-MEMP-0003-0803C)",2008
"0803C-C2",54.74316667,-3.60815,6,"D2c","Robin Rigg Post Consent Monitoring (RR-MEMP-0003-0803C)",2008
"0803C-C3",54.71233333,-3.721666667,6,"D2c","Robin Rigg Post Consent Monitoring (RR-MEMP-0003-0803C)",2008
"0803C-S1",54.73533333,-3.735666667,6,"D2c","Robin Rigg Post Consent Monitoring (RR-MEMP-0003-0803C)",2008
"0803C-S2",54.76466667,-3.7375,6,"D2c","Robin Rigg Post Consent Monitoring (RR-MEMP-0003-0803C)",2008
"0803C-S3",54.75033333,-3.686166667,6,"D2c","Robin Rigg Post Consent Monitoring (RR-MEMP-0003-0803C)",2008
"0803C-S4",54.75005,-3.68485,6,"D2c","Robin Rigg Post Consent Monitoring (RR-MEMP-0003-0803C)",2008
"0803C-S5",54.765,-3.735333333,6,"D2c","Robin Rigg Post Consent Monitoring (RR-MEMP-0003-0803C)",2008
"0803C-S6",54.7705,-3.6865,6,"D2c","Robin Rigg Post Consent Monitoring (RR-MEMP-0003-0803C)",2008
"0805C-CR1",54.74748333,-3.692566667,6,"D2c","Robin Rigg Post Consent Monitoring (RR-MEMP-0003-0805C)",2008
"0805C-CR2",54.74146667,-3.678166667,6,"D2c","Robin Rigg Post Consent Monitoring (RR-MEMP-0003-0805C)",2008
"0805C-CR3",54.73588333,-3.6649,6,"D2c","Robin Rigg Post Consent Monitoring (RR-MEMP-0003-0805C)",2008
"0805C-CR4",54.73061667,-3.653183333,6,"D2c","Robin Rigg Post Consent Monitoring (RR-MEMP-0003-0805C)",2008
"0805C-CR5",54.72561667,-3.641183333,6,"D2c","Robin Rigg Post Consent Monitoring (RR-MEMP-0003-0805C)",2008
"0805C-CR6",54.72046667,-3.628916667,6,"D2c","Robin Rigg Post Consent Monitoring (RR-MEMP-0003-0805C)",2008
"0805C-CR7",54.7093,-3.603083333,9,"D2d","Robin Rigg Post Consent Monitoring (RR-MEMP-0003-0805C)",2008
"0805C-CR8",54.70645,-3.596333333,9,"D2d","Robin Rigg Post Consent Monitoring (RR-MEMP-0003-0805C)",2008
"0811C-C1",54.78901667,-3.724666667,6,"D2c","Robin Rigg Post Consent Monitoring (RR-MEMP-0003-0811C)",2008
"0811C-C2",54.767,-3.724666667,6,"D2c","Robin Rigg Post Consent Monitoring (RR-MEMP-0003-0811C)",2008
"0811C-C3",54.71333333,-3.724833333,6,"D2c","Robin Rigg Post Consent Monitoring (RR-MEMP-0003-0811C)",2008
"0811C-CR1",54.747,-3.689166667,6,"D2c","Robin Rigg Post Consent Monitoring (RR-MEMP-0003-0811C)",2008
"0811C-CR2",54.74133333,-3.6785,6,"D2c","Robin Rigg Post Consent Monitoring (RR-MEMP-0003-0811C)",2008
"0811C-CR3",54.73583333,-3.6785,6,"D2c","Robin Rigg Post Consent Monitoring (RR-MEMP-0003-0811C)",2008
"0811C-CR4",54.7305,-3.665333333,9,"D2d","Robin Rigg Post Consent Monitoring (RR-MEMP-0003-0811C)",2008
"0811C-CR5",54.72566667,-3.640833333,6,"D2c","Robin Rigg Post Consent Monitoring (RR-MEMP-0003-0811C)",2008
"0811C-CR6",54.72033333,-3.629,6,"D2c","Robin Rigg Post Consent Monitoring (RR-MEMP-0003-0811C)",2008
"0811C-CR7",54.70916667,-3.603,9,"D2d","Robin Rigg Post Consent Monitoring (RR-MEMP-0003-0811C)",2008
"0811C-CR8",54.7035,-3.5895,6,"D2c","Robin Rigg Post Consent Monitoring (RR-MEMP-0003-0811C)",2008
"0811C-S4",54.7645,-3.734666667,6,"D2c","Robin Rigg Post Consent Monitoring (RR-MEMP-0003-0811C)",2008
"0811C-S5",54.73516667,-3.735,6,"D2c","Robin Rigg Post Consent Monitoring (RR-MEMP-0003-0811C)",2008
"0811C-S6",54.77333333,-3.683833333,6,"D2c","Robin Rigg Post Consent Monitoring (RR-MEMP-0003-0811C)",2008
"0811CC-S2",54.76416667,-3.685166667,6,"D2c","Robin Rigg Post Consent Monitoring (RR-MEMP-0003-0811C)",2008
"082.1.11204",50.50937,0.50139,7,"B1b","Eastern English Channel Monitoring 2013",2013
"083.1.11205",50.46726,0.53852,7,"B1b","Eastern English Channel Monitoring 2013",2013
"084.1.11206",50.51108,0.48932,7,"B1b","Eastern English Channel Monitoring 2013",2013
"085.1.11207",50.46415,0.53448,4,"C1a","Eastern English Channel Monitoring 2013",2013
"086.1.11208",50.50231,0.49591,7,"B1b","Eastern English Channel Monitoring 2013",2013
"087.1.11209",50.51753,0.47996,7,"B1b","Eastern English Channel Monitoring 2013",2013
"088.1.11210",50.45299,0.54145,7,"B1b","Eastern English Channel Monitoring 2013",2013
"089.1.11211",50.35285,0.63978,7,"B1b","Eastern English Channel Monitoring 2013",2013
"090.1.11212",50.34779,0.64264,7,"B1b","Eastern English Channel Monitoring 2013",2013
"0906C-C1",54.78683333,-3.721,9,"D2d","Robin Rigg Post Consent Monitoring (RR-MEMP-0003-0906C)",2009
"0906C-C2",54.767,-3.605166667,9,"D2d","Robin Rigg Post Consent Monitoring (RR-MEMP-0003-0906C)",2009
"0906C-C3",54.708,-3.7205,6,"D2c","Robin Rigg Post Consent Monitoring (RR-MEMP-0003-0906C)",2009
"0906C-CR1",54.74983333,-3.685333333,9,"D2d","Robin Rigg Post Consent Monitoring (RR-MEMP-0003-0906C)",2009
"0906C-CR2",54.74683333,-3.681333333,9,"D2d","Robin Rigg Post Consent Monitoring (RR-MEMP-0003-0906C)",2009
"0906C-CR3",54.744,-3.671833333,6,"D2c","Robin Rigg Post Consent Monitoring (RR-MEMP-0003-0906C)",2009
"0906C-CR4",54.73733333,-3.6565,6,"D2c","Robin Rigg Post Consent Monitoring (RR-MEMP-0003-0906C)",2009
"0906C-CR5",54.73383333,-3.644833333,6,"D2c","Robin Rigg Post Consent Monitoring (RR-MEMP-0003-0906C)",2009
"0906C-CR6",54.72966667,-3.631166667,6,"D2c","Robin Rigg Post Consent Monitoring (RR-MEMP-0003-0906C)",2009
"0906C-CR7",54.7225,-3.608666667,6,"D2c","Robin Rigg Post Consent Monitoring (RR-MEMP-0003-0906C)",2009
"0906C-CR8",54.71266667,-3.592833333,6,"D2c","Robin Rigg Post Consent Monitoring (RR-MEMP-0003-0906C)",2009
"0906C-S1",54.7585,-3.684333333,6,"D2c","Robin Rigg Post Consent Monitoring (RR-MEMP-0003-0906C)",2009
"0906C-S2",54.75,-3.684166667,6,"D2c","Robin Rigg Post Consent Monitoring (RR-MEMP-0003-0906C)",2009
"0906C-S3",54.75016667,-3.7345,9,"D2d","Robin Rigg Post Consent Monitoring (RR-MEMP-0003-0906C)",2009
"0906C-S4",54.76616667,-3.734833333,6,"D2c","Robin Rigg Post Consent Monitoring (RR-MEMP-0003-0906C)",2009
"0906C-S5",54.73433333,-3.734333333,9,"D2d","Robin Rigg Post Consent Monitoring (RR-MEMP-0003-0906C)",2009
"0906C-S6",54.7705,-3.683666667,6,"D2c","Robin Rigg Post Consent Monitoring (RR-MEMP-0003-0906C)",2009
"092.1.11213",50.34497,0.63489,7,"B1b","Eastern English Channel Monitoring 2013",2013
"093.1.11214",50.35139,0.62535,7,"B1b","Eastern English Channel Monitoring 2013",2013
"094.1.11215",50.46262,0.51354,7,"B1b","Eastern English Channel Monitoring 2013",2013
"096.1.11217",50.34343,0.62197,7,"B1b","Eastern English Channel Monitoring 2013",2013
"100 OFRL041",51.15211,1.80005,2,"D2a","Offshore Foreland_MCZ_infauna",2014
"1005Op-C1_1",54.7888,-3.723866667,6,"D2c","Robin Rigg Post Consent Monitoring (RR-MEMP-0003-1005Op)",2010
"1005Op-C1_2",54.7888,-3.723866667,6,"D2c","Robin Rigg Post Consent Monitoring (RR-MEMP-0003-1005Op)",2010
"1005Op-C2_1",54.76716667,-3.607733333,6,"D2c","Robin Rigg Post Consent Monitoring (RR-MEMP-0003-1005Op)",2010
"1005Op-C2_2",54.76716667,-3.607733333,6,"D2c","Robin Rigg Post Consent Monitoring (RR-MEMP-0003-1005Op)",2010
"1005Op-C3_1",54.74526667,-3.7196,6,"D2c","Robin Rigg Post Consent Monitoring (RR-MEMP-0003-1005Op)",2010
"1005Op-C3_2",54.74526667,-3.7196,6,"D2c","Robin Rigg Post Consent Monitoring (RR-MEMP-0003-1005Op)",2010
